,경상대,광양항세방,구미,남동발전_본사사옥,영동,예천,남제주소내,부산복합자재창고,부산복합1단계,부산수처리장,부산신항,부산본부,삼척소내,신인천소내,신인천전망대,신인천해수취수구,영월본부,영월철도부지,위미2리,인천수산정수장,하동공설운동장,하동변전소,하동보건소,하동본부,하동정수장,하동하수처리장,광양항,당진,당진매립장_송악,당진자재창고,동해,수원환경사업소,황금물류센터,세종시폐기물매립장,연성정수장,영암에프원b,대구,신안
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,8.0,,,,,,,,,8.0,8.0,8.0,,,,8.0,,,,,,,,,,,,8.0,,,8.0,,,
73,,,,,6.0,,,,,,,,,9.0,9.0,9.0,,,,9.0,,,,,,,,10.0,10.0,10.0,,6.0,,,9.0,,,
74,,,,,6.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,8.0,8.0,8.0,,6.0,,11.0,6.0,,,
75,,,,,8.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,6.0,6.0,6.0,,8.0,,11.0,6.0,,,
76,,,,,8.0,,,,,,,,,5.0,5.0,5.0,,,,5.0,,,,,,,,5.0,5.0,5.0,,8.0,,10.0,5.0,,,
77,,,,,8.0,,,,,,,,,5.0,5.0,5.0,,,,5.0,,,,,,,,5.0,5.0,5.0,,8.0,,10.0,5.0,,,10.0
78,,,,,8.0,,,,,,,,,4.0,4.0,4.0,,,,4.0,,,,,,,,5.0,5.0,5.0,,8.0,,10.0,4.0,,,10.0
79,,,,,8.0,,,,,,,,,6.0,6.0,6.0,,,,6.0,,,,,,,,4.0,4.0,4.0,,8.0,,11.0,6.0,10.0,11.0,6.0
80,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,8.0,,6.0,,5.0,11.0,9.0
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,6.0,,8.0,12.0,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,5.0,,8.0,12.0,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,6.0,,8.0,12.0,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,8.0,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,9.0,,10.0
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,8.0,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,10.0
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,74.0,74.0,,,,,,65.0,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,70.0,70.0,,,,71.0,,60.0,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,67.0,67.0,,,,69.0,,56.0,,58.0
98,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,66.0,66.0,66.0,,71.0,,67.0,,54.0,12.0,59.0
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,54.0
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,
104,,,,,,,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,
105,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,39.0,9.0,42.0
106,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,37.0,8.0,41.0
107,,,,,,,,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,8.0,39.0
108,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,29.0,6.0,43.0
109,,,,,,,,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,6.0,41.0
110,,,,,,,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,7.0,35.0
111,,,,,,,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,28.0,28.0,28.0,,,,28.0,,36.0,7.0,30.0
112,,,,,,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,28.0,28.0,28.0,,,,10.0,,29.0,7.0,35.0
113,,,,,,,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,28.0,28.0,28.0,,,,10.0,,28.0,7.0,29.0
114,,,,,,,,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,14.0,14.0,14.0,,,,10.0,,15.0,7.0,19.0
115,,,,,48.0,,,10.0,10.0,10.0,10.0,10.0,,47.0,47.0,47.0,,,,47.0,,,,,,,,14.0,14.0,14.0,,48.0,,45.0,47.0,21.0,6.0,29.0
116,,,,,44.0,,,7.0,7.0,7.0,7.0,7.0,,45.0,45.0,45.0,,,,45.0,,,,,,,,16.0,16.0,16.0,,44.0,,11.0,45.0,16.0,7.0,18.0
117,,,,,35.0,,,7.0,7.0,7.0,7.0,7.0,,47.0,47.0,47.0,,,,47.0,,,,,,,,17.0,17.0,17.0,,35.0,,10.0,47.0,10.0,8.0,15.0
118,,,,,19.0,,,7.0,7.0,7.0,7.0,7.0,,40.0,40.0,40.0,,,,40.0,,,,,,,,17.0,17.0,17.0,,19.0,,10.0,40.0,15.0,7.0,8.0
119,,,,,19.0,,,7.0,7.0,7.0,7.0,7.0,,39.0,39.0,39.0,,,,39.0,,,,,,,,16.0,16.0,16.0,,19.0,,40.0,39.0,15.0,6.0,8.0
120,,,,,35.0,,,10.0,10.0,10.0,10.0,10.0,,42.0,42.0,42.0,,,,42.0,,,,,,,,35.0,35.0,35.0,,35.0,,41.0,42.0,16.0,8.0,14.0
121,,,,,18.0,,,14.0,14.0,14.0,14.0,14.0,,17.0,17.0,17.0,,,,17.0,,,,,,,,15.0,15.0,15.0,,18.0,,19.0,17.0,13.0,7.0,8.0
122,,,,,17.0,,,14.0,14.0,14.0,14.0,14.0,,37.0,37.0,37.0,,,,37.0,,,,,,,,15.0,15.0,15.0,,17.0,,19.0,37.0,13.0,14.0,10.0
123,,,,,35.0,,,10.0,10.0,10.0,10.0,10.0,,17.0,17.0,17.0,,,,17.0,,,,,,,,15.0,15.0,15.0,,35.0,,18.0,17.0,10.0,9.0,14.0
124,,,,,16.0,,,10.0,10.0,10.0,10.0,10.0,,14.0,14.0,14.0,,,,14.0,,,,,,,,35.0,35.0,35.0,,16.0,,16.0,14.0,10.0,9.0,10.0
125,,,,,16.0,,,10.0,10.0,10.0,10.0,10.0,,14.0,14.0,14.0,,,,14.0,,,,,,,,34.0,34.0,34.0,,16.0,,43.0,14.0,17.0,11.0,10.0
126,,,,,16.0,,,10.0,10.0,10.0,10.0,10.0,,13.0,13.0,13.0,,,,13.0,,,,,,,,33.0,33.0,33.0,,16.0,,32.0,13.0,20.0,11.0,25.0
127,,,,,14.0,,,10.0,10.0,10.0,10.0,10.0,,13.0,13.0,13.0,,,,13.0,,,,,,,,10.0,10.0,10.0,,14.0,,14.0,13.0,24.0,9.0,13.0
128,,,,,13.0,,,10.0,10.0,10.0,10.0,10.0,,17.0,17.0,17.0,,,,17.0,,,,,,,,10.0,10.0,10.0,,13.0,,13.0,17.0,25.0,9.0,27.0
129,,,,,10.0,,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,11.0,11.0,11.0,,10.0,,10.0,10.0,33.0,12.0,35.0
130,,,,,,,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,11.0,11.0,11.0,,,,,10.0,32.0,9.0,25.0
131,,,,,12.0,,,10.0,10.0,10.0,10.0,10.0,,11.0,11.0,11.0,,,,11.0,,,,,,,,11.0,11.0,11.0,,12.0,,,11.0,35.0,10.0,26.0
132,,,,,12.0,,,10.0,10.0,10.0,10.0,10.0,,11.0,11.0,11.0,,,,11.0,,,,,,,,12.0,12.0,12.0,,12.0,,,11.0,19.0,10.0,
133,,,,,12.0,,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,12.0,12.0,12.0,,12.0,,10.0,10.0,18.0,11.0,
134,,,,,12.0,,,12.0,12.0,12.0,12.0,12.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,11.0,11.0,11.0,,12.0,,10.0,10.0,17.0,11.0,
135,,,,,10.0,,,12.0,12.0,12.0,12.0,12.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,13.0,13.0,13.0,,10.0,,10.0,10.0,,12.0,10.0
136,,,,,10.0,,,12.0,12.0,12.0,12.0,12.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,10.0,10.0,10.0,,10.0,,10.0,10.0,,12.0,10.0
137,,,,,15.0,,,12.0,12.0,12.0,12.0,12.0,,10.0,10.0,10.0,,,,10.0,,,,,,,,12.0,12.0,12.0,,15.0,,10.0,10.0,,13.0,
138,,,,,15.0,,,,,,,,,10.0,10.0,10.0,,,,10.0,,,,,,,,10.0,10.0,10.0,,15.0,,,10.0,,12.0,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,71.0,71.0,,,,73.0,,69.0,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,35.0
153,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,35.0,,35.0,,,,46.0,,47.0
154,,,,,35.0,,,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,35.0,,35.0,,49.0,35.0,48.0
155,,,,,,,,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,35.0,,45.0,35.0,28.0
156,,,,,,,,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,35.0,,38.0,,48.0
157,,,,,,,,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,41.0,,42.0
158,,,,,,,,32.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,35.0,35.0,35.0,,,,35.0,,31.0,35.0,41.0
159,,,,,,,,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,35.0,35.0,35.0,,,,43.0,,30.0,48.0,36.0
160,,,,,,,,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,35.0,35.0,35.0,,,,54.0,,25.0,45.0,35.0
161,,,,,,,,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,35.0,35.0,35.0,,,,44.0,,29.0,42.0,30.0
162,,,,,,,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,35.0,35.0,35.0,,,,35.0,,34.0,44.0,34.0
163,,,,,,,,33.0,33.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,72.0,72.0,72.0,,,,65.0,,31.0,45.0,32.0
164,,,,,,,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,69.0,69.0,69.0,,,,62.0,,27.0,43.0,31.0
165,,,,,,,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,42.0,,23.0,41.0,31.0
166,,,,,,,,8.0,8.0,8.0,8.0,8.0,,30.0,30.0,30.0,,,,30.0,,,,,,,,39.0,39.0,39.0,,,,49.0,30.0,13.0,11.0,23.0
167,,,,,74.0,,,10.0,10.0,10.0,10.0,10.0,,30.0,30.0,30.0,,,,30.0,,,,,,,,31.0,31.0,31.0,,74.0,,45.0,30.0,14.0,11.0,26.0
168,,,,,,,,8.0,8.0,8.0,8.0,8.0,,30.0,30.0,30.0,,,,30.0,,,,,,,,31.0,31.0,31.0,,,,40.0,30.0,14.0,9.0,12.0
169,,,,,30.0,,,8.0,8.0,8.0,8.0,8.0,,30.0,30.0,30.0,,,,30.0,,,,,,,,29.0,29.0,29.0,,30.0,,41.0,30.0,9.0,37.0,12.0
170,,,,,39.0,,,8.0,8.0,8.0,8.0,8.0,,36.0,36.0,36.0,,,,36.0,,,,,,,,33.0,33.0,33.0,,39.0,,36.0,36.0,13.0,36.0,12.0
171,,,,,35.0,,,10.0,10.0,10.0,10.0,10.0,,33.0,33.0,33.0,,,,33.0,,,,,,,,29.0,29.0,29.0,,35.0,,31.0,33.0,17.0,15.0,12.0
