,경상대,광양항세방,구미,남동발전_본사사옥,영동,예천,남제주소내,부산복합자재창고,부산복합1단계,부산수처리장,부산신항,부산본부,삼척소내,신인천소내,신인천전망대,신인천해수취수구,영월본부,영월철도부지,위미2리,인천수산정수장,하동공설운동장,하동변전소,하동보건소,하동본부,하동정수장,하동하수처리장,광양항,당진,당진매립장_송악,당진자재창고,동해,수원환경사업소,황금물류센터,세종시폐기물매립장,연성정수장,영암에프원b,대구,신안
137,,,,,Sc,,,Sc,Sc,Sc,Sc,Sc,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,Sc,Ci,Sc,Ci
138,,,,,Sc,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,,Sc,Ci,Sc,Ci
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ci,,Ci
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ci,Ci,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ac,Ci,Ci
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ci,Ci,Ci,,,,,,Ci,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AcCi,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ac,,Ci
151,,,,,,,,Ci,Ci,Ci,Ci,Ci,,,,,,,,,,,,,,,,,,,,,,,,Ac,,Ci
152,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,,AcCi
153,,,,,Ac,,,Ci,Ci,Ci,Ci,Ci,,Cc,Cc,Cc,,,,Cc,,,,,,,,AcCi,AcCi,AcCi,,Ac,,Ci,Cc,AcCi,Ci,AcCi
154,,,,,AcCi,,,Ac,Ac,Ac,Ac,Ac,,Cc,Cc,Cc,,,,Cc,,,,,,,,Ci,Ci,Ci,,AcCi,,AcCi,Cc,AcCi,AcCi,AcCi
155,,,,,Ci,,,Ac,Ac,Ac,Ac,Ac,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,AcCi,Ci,AcCi,AcCi,AcCi
156,,,,,Ci,,,AcCi,AcCi,AcCi,AcCi,AcCi,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,AcCi,Ci,AcCi,Ci,AcCi
157,,,,,Ci,,,AcCs,AcCs,AcCs,AcCs,AcCs,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,AcCi,Ci,AcCi
158,,,,,Ci,,,As,As,As,As,As,,Ci,Ci,Ci,,,,Ci,,,,,,,,AcCi,AcCi,AcCi,,Ci,,AcCi,Ci,As,AcCi,As
159,,,,,Cc,,,ScAs,ScAs,ScAs,ScAs,ScAs,,Ci,Ci,Ci,,,,Ci,,,,,,,,AcCi,AcCi,AcCi,,Cc,,Ac,Ci,As,AcCi,As
160,,,,,Ci,,,ScAs,ScAs,ScAs,ScAs,ScAs,,CcCi,CcCi,CcCi,,,,CcCi,,,,,,,,AcCi,AcCi,AcCi,,Ci,,AcCi,CcCi,As,AcCi,As
161,,,,,Cc,,,ScAs,ScAs,ScAs,ScAs,ScAs,,Ci,Ci,Ci,,,,Ci,,,,,,,,AcCi,AcCi,AcCi,,Cc,,AcCi,Ci,As,AcCi,As
162,,,,,Ci,,,ScAs,ScAs,ScAs,ScAs,ScAs,,Ci,Ci,Ci,,,,Ci,,,,,,,,AcCi,AcCi,AcCi,,Ci,,AcCi,Ci,As,AcCi,As
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,ScCi,ScCi,ScCi,ScCi,ScCi,,,,,,,,,,,,,,,,Ci,Ci,Ci,,,,AcCi,,As,AcCi,As
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StNs,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StNs,,As
168,,,,,Ci,,,ScAs,ScAs,ScAs,ScAs,ScAs,,As,As,As,,,,As,,,,,,,,As,As,As,,Ci,,As,As,StNs,ScCi,StNs
169,,,,,,,,StNs,StNs,StNs,StNs,StNs,,,,,,,,,,,,,,,,,,,,,,,,StNs,,StNs
170,,,,,,,,StNs,StNs,StNs,StNs,StNs,,,,,,,,,,,,,,,,,,,,,,,,StNs,,StNs
171,,,,,Ac,,,ScAs,ScAs,ScAs,ScAs,ScAs,,Ac,Ac,Ac,,,,Ac,,,,,,,,As,As,As,,Ac,,As,Ac,StNs,ScAs,StNs
172,,,,,Ac,,,ScAs,ScAs,ScAs,ScAs,ScAs,,Ac,Ac,Ac,,,,Ac,,,,,,,,As,As,As,,Ac,,As,Ac,ScAs,ScAs,ScAs
